Paper title,Paper eid,Paper doi,Citing paper title,Citing paper eid,Citing paper doi
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Driver’s Drowsiness Detection Using SpO2,2-s2.0-85164010759,10.1007/978-3-031-28324-6_17
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Detection and Classification of Pneumonia and COVID-19 from Chest X-Ray Using Convolutional Neural Network,2-s2.0-85164008980,10.1007/978-3-031-28324-6_14
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Emerging Importance of Cybersecurity in Electric Power Sector as a Hub of Interoperable Critical Infrastructure Protection in the Greater Metropolitan Areas in Japan,2-s2.0-85164008552,10.1007/978-3-031-35190-7_19
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Design and Justification of a Cybersecurity Assessment Framework for IoT-Based Environments,2-s2.0-85164006624,10.1007/978-3-031-35190-7_4
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Energy Security in the Context of Hybrid Threats: The Case of the European Natural Gas Network,2-s2.0-85164002394,10.1007/978-3-031-35190-7_15
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Studying the Evolution of Resolution Capabilities and Approximation Accuracy of Global Models by Spectral Characteristics,2-s2.0-85163999252,10.1007/1345_2021_137
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,A Data-Driven Methodology for Guiding the Selection of Preprocessing Techniques in a Machine Learning Pipeline,2-s2.0-85163997722,10.1007/978-3-031-34674-3_5
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Numerical Model of Moving-Base Rotating Accelerometer Gravity Gradiometer,2-s2.0-85163992184,10.1007/1345_2020_114
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Observations with gPhone Gravimeter in Moscow,2-s2.0-85163991379,10.1007/1345_2022_142
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Absolute and Relative Gravity Measurements at Volcanoes: Current State and New Developments Under the NEWTON-g Project,2-s2.0-85163990123,10.1007/1345_2020_126
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Towards a Layer Model for Digital Sovereignty: A Holistic Approach,2-s2.0-85163988618,10.1007/978-3-031-35190-7_9
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Sensitivity of Algorithms for Estimating the Gravity Disturbance Vector to Its Model Uncertainty,2-s2.0-85163976669,10.1007/1345_2021_132
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,A Blockchain Framework for Investment Authorities to Manage Assets and Funds,2-s2.0-85163974930,10.1007/978-3-031-28324-6_18
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Mapping Cyber-Physical Threats for Critical Infrastructures,2-s2.0-85163968597,10.1007/978-3-031-35190-7_12
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Evaluation of Systematic Errors in the Compact Absolute Gravimeter TAG-1 for Network Monitoring of Volcanic Activities,2-s2.0-85163954153,10.1007/1345_2020_107
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,On the Solvability of Initial Problems for Abstract Singular Equations Containing Fractional Derivatives,2-s2.0-85163953209,10.1007/978-3-031-28505-9_2
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Modeling the Hierarchical Structure of Effective Communication Factors for Cyberattack Responses,2-s2.0-85163942745,10.1007/978-3-031-35190-7_14
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Integrating IoT-Driven Events into Business Processes,2-s2.0-85163934672,10.1007/978-3-031-34674-3_11
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Design and Development of a Smart Home Management System Based on MQTT Incorporated in Mesh Network,2-s2.0-85163931271,10.1007/978-3-031-28324-6_6
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Conceptual Formalization of Massive Storage for Advancing Decision-Making with Data Analytics,2-s2.0-85163931063,10.1007/978-3-031-34674-3_15
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,High Data Throughput Exfiltration Through Video Cable Emanations,2-s2.0-85163927170,10.1007/978-3-031-35190-7_3
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,CSR Communication on Social Media as a Driver of the Non-financial Performance of the Firm: Role of Chief Executive Officers and Senior Executives in CSR Communication: A Viewpoint,2-s2.0-85163778388,10.1007/978-981-99-2591-9_1
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Effect of Fumigation Treatment on the Mechanical Properties of Cantala Fiber–Unsaturated Polyester Composite Fabricated by Compression Molding Method,2-s2.0-85163728155,10.1007/978-981-99-2015-0_20
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,"Environmental Sustainability, Governance, National Culture and COVID-19 Impact: International Evidence and Implications",2-s2.0-85163712536,10.1007/978-981-99-2591-9_3
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,"Biomass Extrusion Treatment: Effects on Thermal, Physical, and Mechanical Performance of Rice Husk and Oil Palm Trunk-Filled Polypropylene Biocomposites",2-s2.0-85163704264,10.1007/978-981-99-2015-0_24
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Positioning in a Complex Market,2-s2.0-85163700512,10.1007/978-3-031-31933-4_11
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Market Opportunities,2-s2.0-85163693636,10.1007/978-3-031-31933-4_6
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Managing Global Supply Chain,2-s2.0-85163671291,10.1007/978-3-031-31933-4_13
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Institutional Supports for Commercial Activities,2-s2.0-85163665052,10.1007/978-3-031-31933-4_17
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,The Enormous Pace of Infrastructural Development,2-s2.0-85163662192,10.1007/978-3-031-31933-4_3
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,General Business Environment,2-s2.0-85163638571,10.1007/978-3-031-31933-4_10
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Effect of the Entomopathogenic Fungus Lecanicillium Muscarium on the Whitefly Bemisia Tabaci in a Cucumber Greenhouse,2-s2.0-85163600275,10.1007/978-981-99-1968-0_8
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Economic Hubs,2-s2.0-85163599662,10.1007/978-3-031-31933-4_7
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Labour Market and Education,2-s2.0-85163593848,10.1007/978-3-031-31933-4_8
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Use of Nanofluid to Improve the Efficiency of Photovoltaic Panel,2-s2.0-85163583048,10.1007/978-981-99-1968-0_4
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Educational Application of Artificial Intelligence Technology in the Construction of Cross-Border E-commerce Platform,2-s2.0-85163406865,10.1007/978-981-99-1428-9_148
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,The Application of Information Technology in Classified Training and Layered Teaching of Marketing Specialty in Higher Vocational Colleges Under the Integration of Industry and Education,2-s2.0-85163402538,10.1007/978-981-99-1428-9_143
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Body Sensation and Materiality During Communicative Interaction in Isolated Field: A Systematic Review,2-s2.0-85163383612,10.1007/978-981-99-1428-9_258
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Damage Identification of Two-Stage Beam Structure Based on Improved Particle Swarm Optimization Algorithm,2-s2.0-85163380553,10.1007/978-981-99-1428-9_171
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Ethical-Legal-Technical Challenges for Lawyers and Their Clients with the Internet of Things,2-s2.0-85163377017,10.1007/978-3-031-28086-3_62
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Analysis and Research in English Teaching Based on Association Rule Algorithm,2-s2.0-85163373309,10.1007/978-981-99-1428-9_185
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,An Improved Lightweight Cryptography Based on One-Time Pad for IoT Devices,2-s2.0-85163368962,10.1007/978-981-99-1428-9_266
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Evaluation of College English Teaching Quality Based on Artificial Intelligence Optimization Network,2-s2.0-85163361046,10.1007/978-981-99-1428-9_157
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Interaction of Circulation Structures in the Northern Hemisphere,2-s2.0-85163357787,10.1007/978-3-031-28086-3_30
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,The Efficiency Assessment Methodic of Expenses Budget Financing on the Chemicals Acquisition by Agricultural Producers,2-s2.0-85163356021,10.1007/978-3-031-28086-3_63
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Human Resources Management in an Innovation-Oriented Company: Development Drivers,2-s2.0-85163353194,10.1007/978-3-031-28086-3_69
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Problem of Updating Economic Indicators of Enterprise Sustainable Development,2-s2.0-85163350617,10.1007/978-3-031-28086-3_75
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Research on the Status Quo of Fintech in China,2-s2.0-85163350459,10.1007/978-981-99-1428-9_260
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Chinese and Japanese Intelligent Translation Education of Computer Algorithm Data,2-s2.0-85163350363,10.1007/978-981-99-1428-9_164
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Design and Implementation of Key Modules of English Teaching System Based on J2EE,2-s2.0-85163345088,10.1007/978-981-99-1428-9_156
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Research on Intelligent Charging Strategy of Large-Scale Electric Vehicle Based on Adaptive Genetic Algorithm,2-s2.0-85163342186,10.1007/978-981-99-1428-9_130
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,The Research on COVID-19 and Online Education: Based on Co-occurrence Analysis by Bibliometrics,2-s2.0-85163339322,10.1007/978-981-99-1428-9_261
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Visual Communication Design of Graphic Symbols in Traditional Festival Consumer Goods,2-s2.0-85163335297,10.1007/978-981-99-1428-9_227
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,"Development of Production, Technology and Accounting: Interrelation and Interdependence",2-s2.0-85163324921,10.1007/978-3-031-28086-3_76
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Analysis of the Frailty and High-Risk Posture of the Elderly Based on Edge Computing and Artificial Intelligence,2-s2.0-85163324330,10.1007/978-981-99-1428-9_15
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Application of Decision Tree Algorithm in Table Tennis Competition,2-s2.0-85163323603,10.1007/978-981-99-1428-9_203
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,School-Enterprise Co-construction Laboratory Scheme Based on AHP-TOPSIS,2-s2.0-85163322268,10.1007/978-981-99-1428-9_267
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Evaluation Algorithm of International Trade Target Suppliers Based on ELECTRE - IV,2-s2.0-85163315735,10.1007/978-981-99-1428-9_199
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Position and Role of Business in Economic Security System as in the Case of the Russian Federation,2-s2.0-85163314125,10.1007/978-3-031-28086-3_64
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Market Development of Intangible Cultural Heritage Traditional Handicrafts Based on Computer Technology,2-s2.0-85163313188,10.1007/978-981-99-1428-9_131
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,"Geomarketing in the Placement of Retail in the Development of a Million-Plus City (on the Example of a Regional Retail in Russia, Perm)",2-s2.0-85163299881,10.1007/978-3-031-28086-3_68
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,A Theoretical Framework for Computer Vision Learning Environment,2-s2.0-85163299229,10.1007/978-3-031-33023-0_49
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Construction of Higher Vocational English Resource Database Based on Computer,2-s2.0-85163284828,10.1007/978-981-99-1428-9_118
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Automatic Detection Algorithm and Simulation of Building Engineering Structural Components Based on BIM,2-s2.0-85163284425,10.1007/978-981-99-1428-9_210
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Self-reconfiguring Pseudo Random Address Generator for Secure Infrared Communication,2-s2.0-85163276908,10.1007/978-981-99-1428-9_10
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Circular Colliders in China,2-s2.0-85163042309,10.1007/978-3-031-23042-4_21
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Multi-messenger Astronomy,2-s2.0-85163017440,10.1007/978-3-031-23042-4_19
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,"Adone, Asymptotic Freedom and QCD",2-s2.0-85163008133,10.1007/978-3-031-23042-4_6
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,The Making of AdA: Bruno Touschek’s Journey from Widerøe’s Betatron to Storage Rings,2-s2.0-85163001614,10.1007/978-3-031-23042-4_15
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Technical Challenges for Future Accelerators,2-s2.0-85162993960,10.1007/978-3-031-23042-4_14
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Toward Data Lake Technologies for Intelligent Societies and Cities,2-s2.0-85162176776,10.1007/978-3-031-30514-6_1
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Urban Agriculture—More Than Food Production,2-s2.0-85162037594,10.1007/978-3-030-73089-5_4
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Secondary Frequency Regulation Control Strategy of Battery Energy Storage with Improved Consensus Algorithm,2-s2.0-85161720786,10.1007/978-981-99-1145-5_9
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Autonomous Navigation for the Movement of the Robot in the Tube,2-s2.0-85161718196,10.1007/978-3-031-31268-7_5
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,University Teaching Quality Evaluation Technology Based on OLAP and SVM Algorithm,2-s2.0-85161715575,10.1007/978-981-99-2287-1_84
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Design and Research of Airfield Navaid Lighting Monitoring System Based on Data Mining Algorithm,2-s2.0-85161701735,10.1007/978-981-99-2287-1_14
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Threshold Private Set Intersection with Better Communication Complexity,2-s2.0-85161698310,10.1007/978-3-031-31371-4_9
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Artificial Intelligence Support to the Paradigm Shift from Reactive to Anticipatory Action in Humanitarian Responses,2-s2.0-85161695948,10.1007/978-3-031-31268-7_9
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Personalized Course Recommendation Model of University Environmental Design Based on Collaborative Filtering Algorithm,2-s2.0-85161677371,10.1007/978-981-99-2287-1_49
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Computer Aided Simulation Experiment of Endogenous Microbial Oil Displacement,2-s2.0-85161676728,10.1007/978-981-99-2287-1_1
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Quality Regression Coefficient of UAV Structure Based on Fuzzy Clustering Algorithm,2-s2.0-85161665556,10.1007/978-981-99-2287-1_56
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Enterprise Human Resource Scheduling and Optimization Based on Big Data,2-s2.0-85161654678,10.1007/978-981-99-2287-1_29
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Design of Mental Health Platform for Adolescent Group Based on Random Forest Algorithm,2-s2.0-85161654117,10.1007/978-981-99-2287-1_20
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,New Application of Improved Dynamic Programming Algorithm in Traffic Engineering System,2-s2.0-85161649403,10.1007/978-981-99-2287-1_45
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Modelling and Simulation and Artificial Intelligence for Strategic Political-Military Decision-Making Process: Case Study,2-s2.0-85161648116,10.1007/978-3-031-31268-7_16
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Research and Application of Chinese Literature Automatic Abstract Extraction Based on Textrank Algorithm in Characteristic Resources Construction,2-s2.0-85161642524,10.1007/978-981-99-2287-1_60
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Neural Network Technology for Electrical Fire Early Warning System,2-s2.0-85161637705,10.1007/978-981-99-2287-1_44
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Hellinger Metrics for Validating High Fidelity Simulators Using Target Tracking,2-s2.0-85161627472,10.1007/978-3-031-31268-7_2
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Modular Interface Framework for Advanced Soldier-Platform Interoperability,2-s2.0-85161627313,10.1007/978-3-031-31268-7_17
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Experimental Study on Triaxial Strength of Reinforced Soil in Loess Region Based on Sequence Reduction Algorithm,2-s2.0-85161625568,10.1007/978-981-99-2287-1_32
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Private Polynomial Commitments and Applications to MPC,2-s2.0-85161623356,10.1007/978-3-031-31371-4_5
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Fake News on Social Media: Current Research and Future Directions,2-s2.0-85161496756,10.1007/978-3-031-31469-8_4
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Drone Design for Urban Fire Mitigation,2-s2.0-85161440036,10.1007/978-3-031-30592-4_19
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Distribution of Facilities to Improve the Raw Material Storage System,2-s2.0-85161428089,10.1007/978-3-031-30592-4_37
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Methodology to Improve the Quality of Cyber Threat Intelligence Production Through Open Source Platforms,2-s2.0-85161413910,10.1007/978-3-031-30592-4_7
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Analysis of Functioning Photonic Switches in Next-Generation Networks Using Queueing Theory and Simulation Modeling,2-s2.0-85161409126,10.1007/978-3-031-30648-8_28
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Application of the Piecewise Linear Approximation Method in a Hardware Accelerators of a Neural Networks Based on a Reconfigurable Computing Environments,2-s2.0-85161397981,10.1007/978-3-031-30648-8_6
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,On Effectiveness of the Adversarial Attacks on the Computer Systems of Biomedical Images Classification,2-s2.0-85161391475,10.1007/978-3-031-30648-8_8
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Mobile Marketing as a Communication Strategy in Politics 2.0,2-s2.0-85161386409,10.1007/978-3-031-30592-4_5
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Neuro-Fuzzy Model Based on Multidimensional Membership Function,2-s2.0-85161378935,10.1007/978-3-031-30648-8_19
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Application of the MQTT Protocol for the Control of a Scorbot Robot by Means of EGG Electroencephalographic Signals,2-s2.0-85161378470,10.1007/978-3-031-30592-4_27
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Preparing Traffic to Analyze the Dynamics of Its States by Method of Partial Correlations,2-s2.0-85161377586,10.1007/978-3-031-30648-8_22
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Application of Convolutional Neural Networks for Image Detection and Recognition Based on a Self-written Generator,2-s2.0-85161372554,10.1007/978-3-031-30648-8_3
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,The Markov Model of the Needham-Schroeder Protocol,2-s2.0-85161368601,10.1007/978-3-031-30648-8_27
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Theory of Restrictions for the Improvement of Production Capacity in Textile SMEs,2-s2.0-85161359142,10.1007/978-3-031-30592-4_41
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Structural Damage Characterization via Energy-Based Limit State Definition,2-s2.0-85161336518,10.1007/978-3-031-30125-4_39
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Thermodynamic-Based Macroelement Approach for Dynamic Analysis of Soil-Structure Systems,2-s2.0-85161311453,10.1007/978-3-031-30125-4_36
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Nearest Neighbor Classifier with Margin Penalty for Active Learning,2-s2.0-85161303282,10.1007/978-3-031-30105-6_32
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Soil-Structure Interaction Induced Modification on the Natural Period of Reinforced Concrete Buildings,2-s2.0-85161302808,10.1007/978-3-031-30125-4_32
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Monte Carlo and Subset Simulations-Based Reliability Analysis of Composite Frames Using OpenSees,2-s2.0-85161295115,10.1007/978-3-031-30125-4_19
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Mutual Diverse-Label Adversarial Training,2-s2.0-85161284366,10.1007/978-3-031-30105-6_6
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,System Identification of a Nonlinear One-Degree-of-Freedom Vibrating System,2-s2.0-85161255503,10.1007/978-3-031-31066-9_38
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Lifting Assist Device for Transfer in Cooperation with Caregivers,2-s2.0-85161254080,10.1007/978-3-031-32439-0_17
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,SmartTour: A Blockchain-Based Smart Tourism Platform Using Improvised SHA,2-s2.0-85161252498,10.1007/978-981-19-9379-4_9
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Functional Design and Prototyping of a Novel Soft Fingertip with Variable Stiffness,2-s2.0-85161242474,10.1007/978-3-031-32439-0_32
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Fault Detection in Induction Machines of Air Handling Units,2-s2.0-85161239784,10.1007/978-3-031-32439-0_30
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Decarbonizing Marine Sector: The Drop – In Solution of Marine Sustainable Fuels Following Their Lubricity Performance,2-s2.0-85161235182,10.1007/978-3-031-32439-0_47
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,FPGA Based Logistics Service Robot Control in E-Commerce Warehouse System,2-s2.0-85161232886,10.1007/978-3-031-31066-9_51
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Robot-Assisted 3D Laser Surface Hardening of Medium-Carbon Steel: Surface Roughness Parameters and Hardness,2-s2.0-85161232378,10.1007/978-3-031-31066-9_5
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,3D Printed Toys for Children with Disabilities – Study Case in Montenegro,2-s2.0-85161231369,10.1007/978-3-031-31066-9_29
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Improving Pneumonia Detection Using Segmentation and Image Enhancement,2-s2.0-85161219491,10.1007/978-981-19-9379-4_58
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Automated Lesion Image Segmentation Based on Novel Histogram-Based K-Means Clustering Using COVID-19 Chest CT Images,2-s2.0-85161187369,10.1007/978-981-19-9379-4_55
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Humanitarian Techniques in the Teaching of Technical Sciences,2-s2.0-85161182996,10.1007/978-3-031-32439-0_39
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Overturning Stability for the SNAP Cargo Family of Pedal‑Assisted Ultralight Vehicles,2-s2.0-85161182265,10.1007/978-3-031-32439-0_34
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Performance Evaluation of Sustainable Development Goals Employing Unsupervised Machine Learning Approach,2-s2.0-85161178482,10.1007/978-981-19-9379-4_30
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Using Fractal Dimensions in Modeling Complex Systems in Engineering,2-s2.0-85161178410,10.1007/978-3-031-31066-9_32
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Comparison of the Main Parameters of the Steel and Carbon-Fiber-Reinforced Plastic Band Traction Units for Long-Stroke Oil Well Pumps,2-s2.0-85161175472,10.1007/978-3-031-31066-9_10
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Waste Self-reporting for Software Development Productivity Improvement,2-s2.0-85161173544,10.1007/978-3-031-33976-9_4
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Kinesthetic Trajectory Learning of a Collaborative Robot UR 10e with APLC S7-1500,2-s2.0-85161173376,10.1007/978-3-031-31066-9_2
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Simulation Platform for the Analysis of Motorway Traffic Safety Management Systems,2-s2.0-85161171261,10.1007/978-3-031-31066-9_69
Making data platforms smarter with MOSES,2-s2.0-85109035166,10.1016/j.future.2021.06.031,Design of a Novel Medical Rolling Walker for Use in Hospital Environment,2-s2.0-85161170091,10.1007/978-3-031-32439-0_21
